Robin Williams,"{'born': '1951', 'type': 'person'}"
Vincent Ward,"{'born': '1956', 'type': 'person'}"
Snow Falling on Cedars,"{'tagline': 'First loves last. Forever.', 'released': '1999', 'type': 'movie'}"
Ethan Hawke,"{'born': '1970', 'type': 'person'}"
Rick Yune,"{'born': '1971', 'type': 'person'}"
James Cromwell,"{'born': '1940', 'type': 'person'}"
Scott Hicks,"{'born': '1953', 'type': 'person'}"
You've Got Mail,"{'tagline': 'At odds in life... in love on-line.', 'released': '1998', 'type': 'movie'}"
Parker Posey,"{'born': '1968', 'type': 'person'}"
Dave Chappelle,"{'born': '1973', 'type': 'person'}"
Steve Zahn,"{'born': '1967', 'type': 'person'}"
Tom Hanks,"{'born': '1956', 'type': 'person'}"
Nora Ephron,"{'born': '1941', 'type': 'person'}"
Sleepless in Seattle,"{'tagline': 'What if someone you never met, someone you never saw, someone you never knew was the only someone for you?', 'released': '1993', 'type': 'movie'}"
Rita Wilson,"{'born': '1956', 'type': 'person'}"
Bill Pullman,"{'born': '1953', 'type': 'person'}"
Victor Garber,"{'born': '1949', 'type': 'person'}"
Rosie O'Donnell,"{'born': '1962', 'type': 'person'}"
Joe Versus the Volcano,"{'tagline': 'A story of love, lava and burning desire.', 'released': '1990', 'type': 'movie'}"
John Patrick Stanley,"{'born': '1950', 'type': 'person'}"
Nathan Lane,"{'born': '1956', 'type': 'person'}"
When Harry Met Sally,"{'tagline': 'Can two friends sleep together and still love each other in the morning?', 'released': '1998', 'type': 'movie'}"
Billy Crystal,"{'born': '1948', 'type': 'person'}"
Carrie Fisher,"{'born': '1956', 'type': 'person'}"
Bruno Kirby,"{'born': '1949', 'type': 'person'}"
That Thing You Do,"{'tagline': 'In every life there comes a time when that thing you dream becomes that thing you do', 'released': '1996', 'type': 'movie'}"
Liv Tyler,"{'born': '1977', 'type': 'person'}"
The Replacements,"{'tagline': 'Pain heals, Chicks dig scars... Glory lasts forever', 'released': '2000', 'type': 'movie'}"
Brooke Langton,"{'born': '1970', 'type': 'person'}"
Gene Hackman,"{'born': '1930', 'type': 'person'}"
Orlando Jones,"{'born': '1968', 'type': 'person'}"
Howard Deutch,"{'born': '1950', 'type': 'person'}"
RescueDawn,"{'tagline': ""Based on the extraordinary true story of one man's fight for freedom"", 'released': '2006', 'type': 'movie'}"
Christian Bale,"{'born': '1974', 'type': 'person'}"
Zach Grenier,"{'born': '1954', 'type': 'person'}"
The Birdcage,"{'tagline': 'Come as you are', 'released': '1996', 'type': 'movie'}"
Mike Nichols,"{'born': '1931', 'type': 'person'}"
Unforgiven,"{'tagline': ""It's a hell of a thing, killing a man"", 'released': '1992', 'type': 'movie'}"
Richard Harris,"{'born': '1930', 'type': 'person'}"
Clint Eastwood,"{'born': '1930', 'type': 'person'}"
Johnny Mnemonic,"{'tagline': 'The hottest data on earth. In the coolest head in town', 'released': '1995', 'type': 'movie'}"
Takeshi Kitano,"{'born': '1947', 'type': 'person'}"
Dina Meyer,"{'born': '1968', 'type': 'person'}"
Ice-T,"{'born': '1958', 'type': 'person'}"
Robert Longo,"{'born': '1953', 'type': 'person'}"
Cloud Atlas,"{'tagline': 'Everything is connected', 'released': '2012', 'type': 'movie'}"
Halle Berry,"{'born': '1966', 'type': 'person'}"
Jim Broadbent,"{'born': '1949', 'type': 'person'}"
Tom Tykwer,"{'born': '1965', 'type': 'person'}"
David Mitchell,"{'born': '1969', 'type': 'person'}"
Stefan Arndt,"{'born': '1961', 'type': 'person'}"
The Da Vinci Code,"{'tagline': 'Break The Codes', 'released': '2006', 'type': 'movie'}"
Ian McKellen,"{'born': '1939', 'type': 'person'}"
Audrey Tautou,"{'born': '1976', 'type': 'person'}"
Paul Bettany,"{'born': '1971', 'type': 'person'}"
Ron Howard,"{'born': '1954', 'type': 'person'}"
V for Vendetta,"{'tagline': 'Freedom! Forever!', 'released': '2006', 'type': 'movie'}"
Natalie Portman,"{'born': '1981', 'type': 'person'}"
Stephen Rea,"{'born': '1946', 'type': 'person'}"
John Hurt,"{'born': '1940', 'type': 'person'}"
Ben Miles,"{'born': '1967', 'type': 'person'}"
Speed Racer,"{'tagline': 'Speed has no limits', 'released': '2008', 'type': 'movie'}"
Emile Hirsch,"{'born': '1985', 'type': 'person'}"
John Goodman,"{'born': '1960', 'type': 'person'}"
Susan Sarandon,"{'born': '1946', 'type': 'person'}"
Matthew Fox,"{'born': '1966', 'type': 'person'}"
Christina Ricci,"{'born': '1980', 'type': 'person'}"
Rain,"{'born': '1982', 'type': 'person'}"
Ninja Assassin,"{'tagline': 'Prepare to enter a secret world of assassins', 'released': '2009', 'type': 'movie'}"
Naomie Harris,{'type': 'person'}
The Green Mile,"{'tagline': ""Walk a mile you'll never forget."", 'released': '1999', 'type': 'movie'}"
Michael Clarke Duncan,"{'born': '1957', 'type': 'person'}"
David Morse,"{'born': '1953', 'type': 'person'}"
Sam Rockwell,"{'born': '1968', 'type': 'person'}"
Gary Sinise,"{'born': '1955', 'type': 'person'}"
Patricia Clarkson,"{'born': '1959', 'type': 'person'}"
Frank Darabont,"{'born': '1959', 'type': 'person'}"
Frost/Nixon,"{'tagline': '400 million people were waiting for the truth.', 'released': '2008', 'type': 'movie'}"
Frank Langella,"{'born': '1938', 'type': 'person'}"
Michael Sheen,"{'born': '1969', 'type': 'person'}"
Oliver Platt,"{'born': '1960', 'type': 'person'}"
Hoffa,"{'tagline': ""He didn't want law. He wanted justice."", 'released': '1992', 'type': 'movie'}"
Danny DeVito,"{'born': '1944', 'type': 'person'}"
John C. Reilly,"{'born': '1965', 'type': 'person'}"
Apollo 13,"{'tagline': 'Houston, we have a problem.', 'released': '1995', 'type': 'movie'}"
Ed Harris,"{'born': '1950', 'type': 'person'}"
Bill Paxton,"{'born': '1955', 'type': 'person'}"
Twister,"{'tagline': ""Don't Breathe. Don't Look Back."", 'released': '1996', 'type': 'movie'}"
Philip Seymour Hoffman,"{'born': '1967', 'type': 'person'}"
Jan de Bont,"{'born': '1943', 'type': 'person'}"
Cast Away,"{'tagline': 'At the edge of the world, his journey begins.', 'released': '2000', 'type': 'movie'}"
Robert Zemeckis,"{'born': '1951', 'type': 'person'}"
One Flew Over the Cuckoo's Nest,"{'tagline': ""If he's crazy, what does that make you?"", 'released': '1975', 'type': 'movie'}"
Milos Forman,"{'born': '1932', 'type': 'person'}"
Something's Gotta Give,"{'released': '2003', 'type': 'movie'}"
Diane Keaton,"{'born': '1946', 'type': 'person'}"
Nancy Meyers,"{'born': '1949', 'type': 'person'}"
Bicentennial Man,"{'tagline': ""One robot's 200 year journey to become an ordinary man."", 'released': '1999', 'type': 'movie'}"
Chris Columbus,"{'born': '1958', 'type': 'person'}"
Charlie Wilson's War,"{'tagline': ""A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire."", 'released': '2007', 'type': 'movie'}"
Julia Roberts,"{'born': '1967', 'type': 'person'}"
The Polar Express,"{'tagline': 'This Holiday Season... Believe', 'released': '2004', 'type': 'movie'}"
A League of Their Own,"{'tagline': 'Once in a lifetime you get a chance to do something different.', 'released': '1992', 'type': 'movie'}"
Madonna,"{'born': '1954', 'type': 'person'}"
Geena Davis,"{'born': '1956', 'type': 'person'}"
Lori Petty,"{'born': '1963', 'type': 'person'}"
Penny Marshall,"{'born': '1943', 'type': 'person'}"
Paul Blythe,{'type': 'person'}
Angela Scope,{'type': 'person'}
Jessica Thompson,{'type': 'person'}
James Thompson,{'type': 'person'}
